Store,Region,ProductCategory,MarketingSpend,Revenue,CustomerSatisfaction
Store 137,East,Sports,14300,109600,3.2
Store 138,North,Electronics,38500,124200,4.4
Store 139,North,Home & Garden,36400,204700,4.5
Store 140,East,Clothing,25000,216500,3.5
Store 141,South,Electronics,49500,148800,4.1
Store 142,West,Home & Garden,57900,397600,4.7
Store 143,West,Electronics,37400,118800,3.9
Store 144,South,Clothing,11100,66500,4.3
Store 145,West,Clothing,22900,160400,4.8
Store 146,North,Sports,11700,58800,3.9
Store 147,West,Electronics,10300,49000,4.6
Store 148,East,Electronics,34800,146200,4.5
Store 149,North,Electronics,33300,152900,4.7
Store 150,East,Sports,40500,339300,4.0
Store 151,East,Electronics,56100,186600,3.2
Store 152,North,Sports,12600,42300,3.9
Store 153,South,Clothing,59900,514500,3.8
Store 154,North,Sports,11600,81000,3.8
Store 155,South,Home & Garden,32100,117300,3.3
Store 156,East,Home & Garden,31000,257600,4.2
Store 157,North,Sports,27800,220400,4.6
Store 158,West,Clothing,12500,73000,3.8
Store 159,West,Electronics,26200,194500,4.0
Store 160,West,Electronics,50600,384600,3.3
Store 161,East,Sports,13100,111600,3.6
Store 162,East,Home & Garden,28100,140800,4.8
Store 163,East,Home & Garden,47300,337600,4.8
Store 164,South,Clothing,46100,303000,4.6
Store 165,East,Clothing,51300,186900,4.4
Store 166,West,Sports,49500,419800,4.6
Store 167,North,Sports,19100,149300,4.5
Store 168,North,Electronics,26400,129800,3.8
Store 169,East,Electronics,29600,117200,3.9
Store 170,East,Sports,37600,186300,4.9
Store 171,East,Clothing,23200,81300,3.4
Store 172,West,Sports,18700,71000,4.0
Store 173,North,Clothing,49000,233400,3.7
Store 174,South,Home & Garden,22700,103600,3.9
Store 175,North,Electronics,21800,102200,4.7
Store 176,North,Home & Garden,13200,59500,3.6
Store 177,North,Clothing,42700,382000,3.4
Store 178,West,Electronics,52000,441300,3.3
Store 179,South,Electronics,16000,66200,4.9
Store 180,North,Clothing,28600,234400,4.0
Store 181,South,Clothing,15300,100600,4.3
Store 182,North,Clothing,28400,109300,3.5
Store 183,South,Clothing,40000,276400,3.5
Store 184,East,Home & Garden,30400,159000,4.3
Store 185,East,Electronics,11600,69300,4.0
Store 186,West,Clothing,49800,347800,3.5
Store 187,East,Electronics,29900,138300,4.9
Store 188,South,Sports,57700,281200,4.2
Store 189,South,Sports,30800,252100,4.9
Store 190,South,Electronics,29500,160200,4.8
Store 191,West,Electronics,31200,247200,3.9
Store 192,South,Sports,48700,184100,3.3
Store 193,North,Sports,14500,97600,3.8
Store 194,North,Electronics,27400,108800,3.5
Store 195,East,Clothing,29200,219600,4.5
Store 196,North,Home & Garden,16300,141100,4.9
Store 197,West,Home & Garden,12700,108700,3.9
Store 198,North,Electronics,41100,274900,3.5
Store 199,West,Electronics,38300,124500,4.8
Store 200,North,Sports,28000,109100,4.9
Store 201,North,Clothing,54200,436600,4.3
Store 202,South,Clothing,29500,169200,4.6
Store 203,South,Sports,25400,114200,3.9
Store 204,South,Sports,35200,143400,3.2
Store 205,West,Sports,21800,165300,4.5
Store 206,West,Electronics,50500,272800,3.3
Store 207,South,Sports,28300,221100,4.1
Store 208,East,Clothing,41800,146000,4.4
Store 209,East,Clothing,47600,398400,4.3
Store 210,North,Clothing,52900,474900,4.4
Store 211,East,Electronics,16600,138000,3.7
Store 212,North,Electronics,13300,67900,4.5
Store 213,North,Home & Garden,54800,254800,4.6
Store 214,North,Home & Garden,35100,299000,3.6
Store 215,South,Electronics,26000,83700,3.5
Store 216,North,Home & Garden,44000,368400,3.5
Store 217,South,Clothing,48400,159300,4.7
Store 218,West,Clothing,22600,140400,4.7
Store 219,South,Home & Garden,28800,150200,3.4
Store 220,South,Clothing,32100,130300,4.5
Store 221,East,Home & Garden,51000,230600,4.3
Store 222,South,Clothing,47400,205200,3.7
Store 223,West,Sports,35600,298100,3.4
Store 224,North,Clothing,11100,33500,3.8
Store 225,East,Home & Garden,36700,201100,3.7
Store 226,North,Electronics,28300,225600,3.5
Store 227,East,Electronics,45400,259000,3.3
Store 228,North,Home & Garden,30100,138000,3.2
Store 229,South,Sports,40100,244800,4.0
Store 230,North,Clothing,12200,75500,3.9
Store 231,North,Electronics,12900,99000,3.2
Store 232,North,Electronics,30700,187600,4.3
Store 233,West,Electronics,35400,119700,4.3
Store 234,West,Clothing,28800,161900,4.8
Store 235,East,Sports,18800,168800,3.6
Store 236,East,Clothing,26800,200900,4.4
Store 237,South,Clothing,23300,147300,3.9
Store 238,South,Home & Garden,42100,370100,3.6
Store 239,East,Electronics,23000,101600,4.5
Store 240,North,Home & Garden,19600,104500,4.2
Store 241,West,Sports,33600,207800,3.2
Store 242,East,Sports,57800,254500,4.7
Store 243,North,Sports,41100,142500,4.7
Store 244,North,Clothing,11300,41100,4.8
Store 245,South,Electronics,45000,143300,3.4
Store 246,East,Clothing,46800,158900,4.2
Store 247,South,Electronics,50900,403000,4.7
Store 248,East,Sports,15400,65200,3.4
Store 249,East,Clothing,51300,348300,3.7
Store 250,East,Electronics,14900,112400,3.5
Store 251,South,Home & Garden,31200,97500,3.6
Store 252,South,Clothing,45800,238500,3.7
Store 253,West,Home & Garden,40900,130300,3.9
Store 254,West,Clothing,27300,197300,4.1
Store 255,North,Clothing,38700,182800,3.9
Store 256,North,Home & Garden,48100,426500,3.2
Store 257,West,Clothing,34600,269200,3.5
Store 258,West,Home & Garden,57900,352700,4.2
Store 259,North,Home & Garden,50800,438400,3.6
Store 260,North,Clothing,56900,432500,4.0
Store 261,East,Home & Garden,27800,150300,3.9
Store 262,East,Sports,54400,171400,3.6
Store 263,South,Sports,55100,331000,3.8
Store 264,North,Sports,16300,107000,4.4
Store 265,East,Home & Garden,39100,239700,4.7
Store 266,West,Home & Garden,18500,104200,4.5
Store 267,North,Electronics,26700,183100,4.4
Store 268,North,Home & Garden,25100,181200,4.6
Store 269,North,Electronics,58700,430800,4.2
Store 270,South,Electronics,21800,190400,3.6
Store 271,East,Electronics,58100,209700,3.9
Store 272,North,Home & Garden,46700,262000,3.5
Store 273,East,Home & Garden,20300,108200,3.3
Store 274,West,Sports,44700,268300,4.3
Store 275,West,Clothing,17100,113200,3.9
Store 276,North,Sports,45100,294300,4.3
Store 277,North,Electronics,44000,301400,4.0
Store 278,South,Home & Garden,41400,148500,3.9
Store 279,West,Electronics,22500,124700,4.0
Store 280,West,Electronics,54700,271800,3.2
Store 281,West,Clothing,11900,74500,3.5
Store 282,North,Home & Garden,15100,97400,4.1
Store 283,West,Clothing,42000,334900,4.1
Store 284,West,Sports,20500,145700,3.9
Store 285,East,Home & Garden,41900,189200,3.8
Store 286,East,Clothing,13800,117200,4.3
Store 287,South,Home & Garden,15500,74700,3.9
Store 288,North,Sports,33100,132000,4.8
Store 289,East,Electronics,33500,213500,3.6
Store 290,North,Home & Garden,43300,345700,4.6
Store 291,West,Sports,59800,452000,4.3
Store 292,West,Home & Garden,49200,215600,4.4
Store 293,South,Sports,43900,258500,4.6
Store 294,South,Home & Garden,22200,106800,4.0
Store 295,West,Clothing,43000,222500,4.8
Store 296,West,Clothing,14300,91300,3.8
Store 297,North,Home & Garden,41700,128800,3.2
Store 298,East,Home & Garden,22500,81200,3.4
Store 299,North,Electronics,48800,247800,3.5
Store 300,West,Electronics,40500,288700,4.9
Store 301,East,Home & Garden,19900,142400,4.1
Store 302,West,Clothing,37800,173400,3.6
Store 303,North,Sports,34700,116300,4.0
Store 304,North,Sports,22300,88900,4.2
Store 305,East,Electronics,52000,302000,4.2
Store 306,South,Sports,28700,158200,4.8
Store 307,East,Electronics,41900,285600,3.2
Store 308,East,Home & Garden,50400,179600,4.0
Store 309,North,Clothing,20700,113700,3.4
Store 310,East,Home & Garden,27100,207900,4.1
Store 311,North,Home & Garden,31800,176000,4.1
Store 312,South,Home & Garden,27800,165800,3.8
Store 313,South,Home & Garden,58700,406600,4.5
Store 314,South,Electronics,25900,124200,4.2
Store 315,East,Clothing,29900,189100,3.9
Store 316,East,Sports,25000,75900,3.5
Store 317,West,Clothing,49500,418700,4.2
Store 318,North,Clothing,20600,144200,4.0
Store 319,North,Clothing,43200,354900,3.9
Store 320,East,Clothing,28400,225400,4.5
Store 321,South,Home & Garden,19200,61500,3.2
Store 322,East,Sports,38400,124300,3.4
Store 323,West,Sports,32300,99600,3.9
Store 324,North,Sports,48500,305200,3.3
Store 325,West,Electronics,54800,370500,3.9
Store 326,East,Clothing,59300,483300,3.6
Store 327,East,Electronics,33600,156300,4.2
Store 328,West,Electronics,56100,291500,4.5
Store 329,North,Clothing,24700,156700,4.0
Store 330,South,Clothing,45900,140800,3.2
Store 331,East,Sports,25600,188800,3.5
Store 332,West,Clothing,25800,224300,4.4
Store 333,West,Electronics,17200,133900,3.8
Store 334,North,Sports,33800,259200,4.0
Store 335,South,Home & Garden,24600,82800,4.9
Store 336,South,Clothing,51600,340900,3.7
Store 337,West,Electronics,28800,204700,4.2
Store 338,North,Sports,24200,72800,3.6
Store 339,West,Electronics,39300,310300,4.7
Store 340,East,Home & Garden,51700,406900,4.7
Store 341,North,Home & Garden,58800,457700,4.1
Store 342,West,Home & Garden,36700,229000,4.0
Store 343,West,Electronics,49400,362300,4.9
Store 344,South,Clothing,43900,254300,3.6
Store 345,South,Clothing,49600,285600,3.3
Store 346,South,Clothing,21600,139900,4.7
Store 347,South,Sports,35300,148700,3.6
Store 348,East,Electronics,50300,238400,4.2
Store 349,South,Sports,49000,398900,3.6
Store 350,West,Home & Garden,53300,278800,4.0
Store 351,East,Electronics,25800,82100,3.7
Store 352,East,Clothing,11700,104600,4.7
Store 353,West,Electronics,23100,177300,3.9
Store 354,West,Electronics,22700,73300,3.5
Store 355,North,Sports,14200,46900,4.1
Store 356,West,Sports,57400,485600,3.3
Store 357,West,Clothing,45300,160400,3.7
Store 358,North,Clothing,57800,405700,3.9
Store 359,West,Electronics,28500,125700,4.4
Store 360,North,Clothing,57100,493700,3.3
Store 361,East,Clothing,22900,139200,4.5
Store 362,West,Clothing,15100,74100,3.2
Store 363,North,Home & Garden,39500,223100,4.3
Store 364,West,Home & Garden,28600,152700,3.8
Store 365,West,Electronics,32100,251800,4.8
Store 366,East,Sports,45900,191400,3.3
Store 367,North,Clothing,56700,465000,4.7
Store 368,North,Sports,57900,495400,3.9
Store 369,East,Clothing,32600,164300,4.6
Store 370,West,Clothing,41400,159700,3.6
Store 371,East,Electronics,45700,288800,3.4
Store 372,North,Home & Garden,30900,138400,3.2
Store 373,South,Home & Garden,50200,229100,3.4
Store 374,West,Sports,15700,139300,3.3
Store 375,North,Sports,51800,192400,4.5
Store 376,South,Sports,59600,535700,4.8
Store 377,East,Sports,24500,205200,3.3
Store 378,South,Electronics,58900,182400,4.6
Store 379,South,Electronics,32200,249100,4.8
Store 380,South,Electronics,28000,90800,3.9
Store 381,South,Electronics,16900,69000,4.5
Store 382,North,Electronics,40000,319000,4.7
Store 383,West,Home & Garden,18800,71900,4.3
Store 384,North,Home & Garden,20100,68200,4.4
Store 385,West,Clothing,35900,182600,3.7
Store 386,West,Clothing,10800,91400,4.0
Store 387,South,Electronics,19300,154200,3.8
Store 388,North,Home & Garden,38700,315300,3.8
Store 389,West,Clothing,16000,116600,4.6
Store 390,South,Sports,38800,325500,3.7
Store 391,East,Sports,32300,101900,4.6
Store 392,North,Clothing,22200,78400,4.3
Store 393,North,Clothing,25600,162100,4.8
Store 394,East,Clothing,56300,418400,3.6
Store 395,West,Electronics,45100,163100,4.7
Store 396,North,Clothing,23700,137200,4.2
Store 397,South,Clothing,16100,87500,3.4
Store 398,North,Electronics,17400,112000,4.5
Store 399,North,Clothing,56900,303400,3.9
Store 400,East,Sports,58500,193700,3.8
Store 401,West,Electronics,51900,378500,4.6
Store 402,South,Sports,52400,174000,4.1
Store 403,South,Electronics,53500,373400,3.2
Store 404,East,Electronics,13500,75600,4.1
Store 405,East,Electronics,17000,149900,4.5
Store 406,West,Clothing,50500,419500,4.7
Store 407,East,Home & Garden,55900,376800,4.3
Store 408,East,Clothing,22500,137700,3.9
Store 409,East,Home & Garden,15700,79800,3.5
Store 410,East,Home & Garden,14200,92900,4.8
Store 411,West,Clothing,35600,295900,4.8
Store 412,South,Home & Garden,22200,78300,4.1
Store 413,West,Electronics,42500,178800,4.4
Store 414,West,Home & Garden,40600,236000,3.7
Store 415,North,Home & Garden,21100,128200,3.9
Store 416,West,Clothing,56200,223300,4.8
Store 417,South,Home & Garden,34600,162900,4.9
Store 418,South,Clothing,48600,192000,3.3
Store 419,South,Sports,42900,261800,4.6
Store 420,South,Clothing,36000,321700,4.4
Store 421,North,Sports,26900,137600,4.3
Store 422,South,Clothing,46900,349900,4.5
Store 423,West,Home & Garden,49200,356800,4.8
Store 424,North,Sports,53500,161900,4.5
Store 425,East,Sports,29900,267800,3.5
Store 426,South,Clothing,29000,165700,4.0
Store 427,South,Home & Garden,27600,169900,4.2
Store 428,South,Clothing,49400,400000,4.0
Store 429,West,Home & Garden,19200,92600,3.4
Store 430,West,Electronics,14400,122700,3.8
Store 431,North,Home & Garden,20200,112300,4.7
Store 432,East,Clothing,12400,79200,4.0
Store 433,South,Sports,35900,219100,4.4
Store 434,West,Sports,27900,183300,3.8
Store 435,East,Clothing,36300,130500,3.8
Store 436,West,Electronics,54000,474500,4.0
Store 437,West,Home & Garden,44600,333600,3.4
Store 438,South,Home & Garden,28300,97600,3.7
Store 439,North,Clothing,42800,204100,3.8
Store 440,West,Electronics,36200,285900,3.6
Store 441,North,Sports,19100,129500,4.2
Store 442,South,Clothing,44600,136700,3.2
Store 443,East,Home & Garden,29900,107400,3.2
Store 444,East,Electronics,18800,143100,4.2
Store 445,North,Electronics,30600,114100,3.5
Store 446,East,Clothing,15000,60300,4.1
Store 447,West,Sports,50300,169600,3.2
Store 448,South,Electronics,45800,234600,3.5
Store 449,South,Clothing,53000,460400,3.3
Store 450,North,Sports,41200,128400,3.6
Store 451,West,Clothing,32000,215100,3.6
Store 452,East,Electronics,56500,459200,3.7
Store 453,West,Home & Garden,30900,139400,4.7
Store 454,East,Electronics,43900,309500,4.2
Store 455,West,Home & Garden,29900,217400,3.2
Store 456,North,Clothing,18700,96300,3.5
Store 457,South,Sports,38100,140600,4.1
Store 458,West,Home & Garden,30200,102500,3.4
Store 459,South,Electronics,29400,170600,3.8
Store 460,West,Clothing,24000,75600,4.6
Store 461,North,Electronics,14600,67400,4.6
Store 462,North,Sports,33400,259500,3.6
Store 463,South,Home & Garden,20800,113000,4.3
Store 464,North,Home & Garden,57500,346700,3.6
Store 465,West,Electronics,57100,513200,4.2
Store 466,West,Home & Garden,36700,199100,4.1
Store 467,North,Clothing,43900,155800,4.6
Store 468,West,Clothing,42900,274800,3.7
Store 469,West,Clothing,44700,342300,3.6
Store 470,North,Clothing,13400,113700,4.6
Store 471,South,Electronics,13300,64700,3.6
Store 472,North,Sports,24100,130600,4.7
Store 473,North,Home & Garden,18800,97800,4.6
Store 474,South,Sports,11300,81600,4.0
Store 475,West,Home & Garden,55300,198300,3.7
Store 476,South,Electronics,45600,147900,3.3
Store 477,North,Sports,19900,95900,3.8
Store 478,East,Home & Garden,41500,358900,4.2
Store 479,North,Sports,45800,207400,3.9
Store 480,South,Clothing,15600,118300,4.3
Store 481,East,Clothing,58700,416000,3.3
Store 482,South,Electronics,48900,248100,4.8
Store 483,West,Sports,59900,400900,3.6
Store 484,East,Home & Garden,57300,317700,4.8
Store 485,West,Clothing,43800,185500,4.3
Store 486,North,Sports,48100,156900,4.4
Store 487,South,Electronics,37300,328900,4.3
Store 488,South,Electronics,58200,233300,3.8
Store 489,East,Electronics,41800,159800,4.4
Store 490,West,Sports,21900,97500,4.1
Store 491,West,Electronics,56800,290200,3.7
Store 492,North,Electronics,26700,210700,4.1
Store 493,North,Electronics,39900,230100,4.5
Store 494,North,Clothing,44500,136800,4.0
Store 495,East,Clothing,54800,264300,3.4
Store 496,South,Sports,58100,230500,4.0
Store 497,South,Home & Garden,18400,63100,3.2
Store 498,West,Clothing,47400,236500,4.5
Store 499,South,Clothing,42300,369700,4.0
Store 500,South,Clothing,28000,99300,3.7
Store 501,South,Electronics,13900,104000,3.2
Store 502,West,Electronics,24800,102000,4.3
Store 503,North,Clothing,49200,392700,4.5
Store 504,South,Sports,19200,152700,3.7
Store 505,South,Electronics,37600,196100,4.6
Store 506,North,Clothing,12100,77500,4.3
Store 507,West,Clothing,57200,341300,4.0
Store 508,North,Home & Garden,40100,271000,3.4
Store 509,North,Electronics,16900,115300,3.9
Store 510,East,Sports,34000,146500,3.8
Store 511,East,Sports,17200,59000,3.3
Store 512,West,Home & Garden,13100,40000,4.8
Store 513,North,Electronics,28900,87400,4.6
Store 514,South,Electronics,33400,209000,4.1
Store 515,West,Electronics,58700,514900,4.3
Store 516,East,Home & Garden,40500,193700,4.2
Store 517,South,Sports,42800,163500,4.7
Store 518,East,Electronics,21100,156900,4.4
Store 519,North,Home & Garden,37700,326400,3.8
Store 520,North,Sports,29800,109800,3.5
Store 521,North,Clothing,21100,169300,4.3
Store 522,North,Home & Garden,45500,198500,4.0
Store 523,East,Clothing,52600,372200,4.6
Store 524,North,Clothing,41300,361900,4.1
Store 525,West,Sports,37200,327600,3.5
Store 526,West,Clothing,16800,128600,3.3
Store 527,North,Clothing,28600,88400,4.2
Store 528,North,Sports,25000,181100,3.9
Store 529,East,Electronics,38100,324000,4.7
Store 530,North,Home & Garden,47300,238800,4.5
Store 531,East,Home & Garden,16100,84300,4.5
Store 532,South,Sports,12200,80800,3.4
Store 533,South,Clothing,11700,99000,3.6
Store 534,South,Electronics,44700,139800,4.9
Store 535,West,Clothing,49600,294000,3.3
Store 536,South,Electronics,17500,150300,4.7
Store 537,West,Electronics,39400,177400,4.9
Store 538,South,Sports,10700,54100,3.5
Store 539,West,Clothing,50000,160600,3.5
Store 540,West,Sports,58400,418000,4.0
Store 541,North,Clothing,28000,172700,3.7
Store 542,North,Clothing,20600,163100,4.4
Store 543,South,Sports,29400,150600,3.2
Store 544,West,Home & Garden,21300,95700,4.7
Store 545,East,Electronics,46300,178800,3.9
Store 546,East,Home & Garden,27800,179100,4.2
Store 547,North,Clothing,55800,469600,3.4
Store 548,North,Sports,41700,283900,3.8
Store 549,South,Electronics,53600,462700,4.4
Store 550,South,Home & Garden,47000,284500,4.3
Store 551,South,Sports,26700,192900,4.3
Store 552,West,Home & Garden,54700,429700,4.9
Store 553,North,Electronics,20300,169200,4.3
Store 554,West,Sports,29800,227500,4.8
Store 555,East,Electronics,25100,121800,4.4
Store 556,South,Clothing,56100,364700,3.3
Store 557,North,Home & Garden,39000,348100,3.8
Store 558,West,Clothing,51900,255100,3.5
Store 559,South,Clothing,47900,323700,3.6
Store 560,East,Electronics,12400,70500,4.7
Store 561,South,Clothing,19800,146600,4.8
Store 562,East,Clothing,13700,108200,4.2
Store 563,North,Clothing,19400,120700,4.7
Store 564,South,Clothing,20600,102200,4.5
Store 565,West,Sports,40500,316000,3.5
Store 566,West,Clothing,14400,96100,4.5
Store 567,West,Home & Garden,57000,469700,3.2
Store 568,South,Home & Garden,12800,85600,4.4
Store 569,South,Electronics,14700,57900,3.4
Store 570,East,Home & Garden,50700,280800,4.1
Store 571,North,Home & Garden,21500,144300,4.6
Store 572,West,Clothing,48800,236900,4.5
Store 573,West,Home & Garden,28100,173600,3.7
Store 574,South,Clothing,37900,136400,4.6
Store 575,South,Electronics,59500,260000,4.5
Store 576,East,Clothing,41200,153800,4.1
Store 577,North,Electronics,23000,152600,4.5
Store 578,North,Electronics,36400,185800,4.4
Store 579,West,Sports,20700,175400,4.7
Store 580,West,Sports,20600,159400,3.2
Store 581,East,Clothing,50300,426600,4.3
Store 582,South,Clothing,21400,112500,4.7
Store 583,West,Electronics,11500,35900,4.4
Store 584,North,Electronics,27700,137300,3.9
Store 585,South,Home & Garden,54000,323500,4.9
Store 586,North,Sports,53200,437100,3.7
Store 587,North,Home & Garden,24100,120200,4.0
Store 588,North,Electronics,26000,173200,4.8
Store 589,North,Clothing,54100,230400,4.7
Store 590,South,Clothing,49000,400800,3.5
Store 591,North,Home & Garden,44300,346900,3.5
Store 592,East,Electronics,55600,217100,4.5
Store 593,East,Electronics,33200,178700,3.9
Store 594,West,Home & Garden,59000,188700,3.6
Store 595,East,Clothing,16700,109700,4.2
Store 596,East,Clothing,12400,103700,3.3
Store 597,East,Clothing,57900,510900,4.1
Store 598,East,Electronics,21200,132300,4.3
Store 599,East,Home & Garden,52000,454700,3.3
Store 600,North,Electronics,46600,216100,3.5
Store 601,South,Home & Garden,13400,43700,4.1
Store 602,West,Home & Garden,23400,115900,3.3
Store 603,West,Home & Garden,37400,267100,4.9
Store 604,South,Sports,31100,194100,3.9
Store 605,North,Sports,48000,397900,4.6
Store 606,East,Electronics,40400,345700,3.6
Store 607,West,Electronics,51300,358100,3.3
Store 608,East,Clothing,30300,192400,4.4
Store 609,West,Home & Garden,32800,212100,4.0
Store 610,West,Home & Garden,39600,355200,3.6
Store 611,West,Home & Garden,45600,244500,4.1
Store 612,South,Clothing,41400,259100,3.6
Store 613,South,Home & Garden,55400,323500,4.4
Store 614,West,Electronics,60000,203700,4.5
Store 615,South,Electronics,36400,286800,3.6
Store 616,North,Electronics,51100,294400,4.3
Store 617,East,Home & Garden,29100,232600,4.6
Store 618,East,Sports,17700,79800,3.4
Store 619,South,Home & Garden,32600,115000,3.9
Store 620,West,Clothing,32500,190800,4.6
Store 621,North,Clothing,44000,228900,4.1
Store 622,North,Home & Garden,36200,282700,3.6
Store 623,North,Clothing,38500,128800,3.5
Store 624,South,Home & Garden,22800,104700,3.9
Store 625,West,Clothing,20100,111300,4.5
Store 626,South,Clothing,45900,241200,3.3
