CarID,Brand,Model,Country,PlantLocation,YearOfManufacture,FuelType,Transmission,Segment,UnitsProduced,AverageCostPerUnit,TotalProductionCost,ElectricVehicle,DefectRate(%)
C0112,BMW,3 Series,Germany,Monterrey,2020,Petrol,Manual,Crossover,7985,27507,219643395,No,1.07
C0113,Hyundai,A-Class,Mexico,São Paulo,2013,Electric,Automatic,Sedan,50027,45391,2270775557,Yes,1.18
C0114,BMW,Corolla,France,Chennai,2012,Petrol,Automatic,Sedan,65100,44171,2875532100,No,1.15
C0115,Toyota,Civic,Mexico,Chennai,2011,Petrol,Manual,Truck,69248,61730,4274679040,No,2.64
C0116,Hyundai,Optima,Japan,Shanghai,2015,Diesel,Automatic,Sedan,59028,17485,1032104580,No,1.99
C0117,Kia,3 Series,USA,São Paulo,2017,Petrol,Automatic,Coupe,28299,47748,1351220652,No,3.1
C0118,Honda,A-Class,USA,Paris,2015,Electric,Automatic,Sedan,46839,13878,650031642,Yes,1.15
C0119,Honda,Civic,Germany,Paris,2018,Petrol,Manual,Crossover,16587,11949,198198063,No,2.45
C0120,Volkswagen,Passat,China,Paris,2023,Electric,Automatic,Coupe,7946,30881,245380426,Yes,2.66
C0121,Kia,Elantra,Japan,Nagoya,2014,Hybrid,Automatic,Sedan,50960,61306,3124153760,No,0.62
C0122,Kia,Altima,USA,Nagoya,2011,Petrol,Automatic,SUV,58760,19958,1172732080,No,1.46
C0123,BMW,Mustang,Japan,Paris,2017,Electric,Manual,Sedan,15377,69185,1063857745,Yes,1.74
C0124,Honda,Civic,India,Chennai,2018,Hybrid,Automatic,Coupe,25223,18697,471594431,No,1.31
C0125,Toyota,Corolla,UK,São Paulo,2023,Electric,Automatic,Sedan,13443,25493,342702399,Yes,1.2
C0126,Tesla,Corolla,France,Detroit,2019,Hybrid,Automatic,Sedan,10806,52801,570567606,No,2.43
C0127,Tesla,Civic,Mexico,São Paulo,2013,Diesel,Automatic,Sedan,37284,31199,1163223516,No,0.83
C0128,Hyundai,Corolla,Japan,Paris,2015,Petrol,Automatic,Coupe,20955,75792,1588221360,No,2.51
C0129,Honda,Elantra,UK,São Paulo,2024,Petrol,Automatic,Sedan,71948,44488,3200822624,No,3.28
C0130,Honda,Corolla,India,Seoul,2020,Hybrid,Automatic,Truck,30474,40493,1233983682,No,2.02
C0131,Tesla,3 Series,Mexico,Nagoya,2019,Diesel,Manual,Crossover,27871,59002,1644444742,No,2.18
C0132,Honda,Altima,Japan,Nagoya,2017,Electric,Manual,Truck,4436,33731,149630716,Yes,0.33
C0133,BMW,Corolla,Germany,Chennai,2018,Diesel,Automatic,Coupe,33666,17076,574880616,No,3.04
C0134,Mercedes,Altima,UK,Detroit,2021,Electric,Manual,SUV,26227,11071,290359117,Yes,1.07
C0135,Ford,A-Class,Mexico,Paris,2014,Electric,Automatic,Truck,64469,77602,5002923338,Yes,2.19
C0136,Kia,Model X,Japan,Monterrey,2021,Petrol,Manual,Crossover,28868,51410,1484103880,No,3.43
C0137,Volkswagen,Elantra,UK,Chennai,2015,Hybrid,Automatic,Hatchback,69031,64327,4440557137,No,2.12
C0138,Hyundai,Model X,India,Chennai,2020,Petrol,Automatic,Crossover,39597,71072,2814237984,No,2.56
C0139,Mercedes,A-Class,Japan,Detroit,2013,Petrol,Manual,Truck,35484,51041,1811138844,No,1.61
C0140,Tesla,Elantra,Japan,London,2014,Petrol,Manual,Hatchback,51359,63326,3252360034,No,0.31
C0141,Kia,Civic,Japan,Paris,2016,Electric,Automatic,Coupe,44791,48549,2174558259,Yes,2.81
C0142,Honda,Civic,Brazil,Monterrey,2018,Petrol,Automatic,Crossover,65728,63096,4147173888,No,0.22
C0143,Volkswagen,Altima,Germany,Nagoya,2019,Electric,Automatic,SUV,22650,65578,1485341700,Yes,2.48
C0144,Honda,A-Class,India,Detroit,2020,Hybrid,Automatic,Hatchback,22561,56390,1272214790,No,0.18
C0145,Toyota,Altima,Mexico,Monterrey,2022,Electric,Automatic,Hatchback,29678,56052,1663511256,Yes,3.03
C0146,Toyota,Mustang,Brazil,Seoul,2015,Electric,Automatic,Crossover,57290,53167,3045937430,Yes,0.64
C0147,Volkswagen,Corolla,China,Chennai,2023,Diesel,Manual,Truck,66196,64587,4275401052,No,1.85
C0148,Volkswagen,Optima,Brazil,Detroit,2015,Petrol,Automatic,Hatchback,16148,71292,1151223216,No,2.13
C0149,Tesla,Mustang,France,Nagoya,2017,Petrol,Automatic,Coupe,62279,52139,3247164781,No,1.66
C0150,Volkswagen,Corolla,France,São Paulo,2020,Petrol,Automatic,Crossover,37172,20707,769720604,No,1.26
C0151,BMW,Elantra,Japan,Nagoya,2013,Petrol,Automatic,Coupe,69609,23140,1610752260,No,1.69
C0152,Honda,Altima,Brazil,Seoul,2012,Diesel,Automatic,Crossover,61021,21093,1287115953,No,1.16
C0153,Mercedes,Elantra,China,Detroit,2023,Diesel,Automatic,Coupe,35093,15830,555522190,No,1.59
C0154,Nissan,Elantra,Brazil,Seoul,2016,Diesel,Manual,Truck,14286,40608,580125888,No,1.32
C0155,Volkswagen,Corolla,Germany,Paris,2014,Diesel,Manual,Crossover,10315,57287,590915405,No,2.03
C0156,Hyundai,A-Class,Germany,Paris,2011,Petrol,Automatic,SUV,22466,43427,975630982,No,0.91
C0157,Toyota,Corolla,China,São Paulo,2011,Electric,Automatic,Truck,14294,38395,548818130,Yes,3.46
C0158,BMW,Passat,Brazil,Chennai,2020,Hybrid,Automatic,Coupe,31923,27970,892886310,No,1.8
C0159,Kia,Civic,UK,London,2015,Diesel,Manual,Crossover,21802,33371,727554542,No,0.76
C0160,Nissan,Civic,Germany,Munich,2017,Electric,Manual,Truck,61564,29266,1801732024,Yes,1.72
C0161,Mercedes,Mustang,Germany,Monterrey,2010,Diesel,Automatic,Coupe,28335,29195,827240325,No,3.05
C0162,Nissan,Civic,USA,Seoul,2024,Petrol,Automatic,Sedan,73856,37315,2755936640,No,0.17
C0163,Volkswagen,Corolla,Brazil,Monterrey,2020,Petrol,Manual,Sedan,49782,51581,2567805342,No,2.41
C0164,Tesla,3 Series,Germany,São Paulo,2015,Electric,Automatic,Hatchback,53214,55537,2955345918,Yes,1.96
C0165,Toyota,Altima,India,Monterrey,2021,Electric,Automatic,SUV,67535,32184,2173546440,Yes,0.68
C0166,Toyota,Corolla,Brazil,Monterrey,2011,Electric,Manual,Sedan,24314,33279,809145606,Yes,2.88
C0167,Kia,Corolla,France,Nagoya,2011,Petrol,Manual,Coupe,24589,36570,899219730,No,1.35
C0168,Tesla,Optima,USA,Detroit,2016,Petrol,Automatic,Truck,73662,53030,3906295860,No,1.1
C0169,Honda,Altima,Germany,Chennai,2019,Hybrid,Automatic,Crossover,56331,72245,4069633095,No,2.92
C0170,Ford,Passat,USA,Munich,2010,Electric,Automatic,Truck,33246,65467,2176515882,Yes,2.27
C0171,BMW,Civic,France,Detroit,2015,Hybrid,Automatic,Hatchback,52440,45133,2366774520,No,3.15
C0172,Toyota,Altima,China,Nagoya,2023,Diesel,Automatic,Truck,36976,53805,1989493680,No,2.24
C0173,Hyundai,Civic,China,Monterrey,2016,Hybrid,Automatic,Sedan,26783,53998,1446228434,No,2.62
C0174,Toyota,Mustang,Brazil,Munich,2023,Diesel,Manual,Truck,2269,27238,61803022,No,2.94
C0175,Nissan,Altima,France,Nagoya,2017,Diesel,Manual,Sedan,42778,78264,3347977392,No,0.29
C0176,Toyota,Civic,South Korea,Nagoya,2016,Hybrid,Automatic,Sedan,47494,58245,2766288030,No,2.74
C0177,Toyota,Passat,South Korea,Nagoya,2015,Electric,Automatic,SUV,63398,33557,2127446686,Yes,2.19
C0178,Ford,Model X,Brazil,Paris,2018,Diesel,Automatic,Hatchback,16134,75667,1220811378,No,0.34
C0179,Ford,Elantra,Japan,Munich,2022,Electric,Automatic,Coupe,11465,75074,860723410,Yes,1.83
C0180,Mercedes,Elantra,USA,Nagoya,2012,Petrol,Automatic,Sedan,28066,68204,1914213464,No,0.38
C0181,Honda,Passat,USA,London,2020,Diesel,Automatic,Crossover,52696,35575,1874660200,No,2.6
C0182,Hyundai,Optima,China,Monterrey,2015,Petrol,Manual,Hatchback,48785,30069,1466916165,No,1.96
C0183,Toyota,Model X,South Korea,Munich,2013,Hybrid,Automatic,Coupe,55999,34400,1926365600,No,3.34
C0184,Toyota,Mustang,Mexico,Paris,2011,Electric,Manual,Crossover,19920,34146,680188320,Yes,0.72
C0185,BMW,Passat,Germany,Seoul,2010,Hybrid,Manual,Truck,25736,16846,433548656,No,2.16
C0186,Ford,Elantra,Germany,Seoul,2021,Diesel,Automatic,Hatchback,6718,50352,338264736,No,0.82
C0187,Hyundai,Elantra,Germany,Chennai,2021,Petrol,Automatic,Crossover,50392,33694,1697908048,No,2.19
C0188,Kia,Elantra,China,Shanghai,2023,Diesel,Manual,Hatchback,74531,31740,2365613940,No,2.56
C0189,Mercedes,A-Class,France,London,2010,Hybrid,Manual,Hatchback,64557,59438,3837138966,No,2.56
C0190,Honda,Passat,UK,Seoul,2020,Electric,Automatic,Truck,79109,40996,3243152564,Yes,2.87
C0191,Tesla,Corolla,South Korea,Paris,2019,Electric,Automatic,Truck,77407,73874,5718364718,Yes,3.0
C0192,Honda,Mustang,South Korea,Shanghai,2012,Diesel,Automatic,Hatchback,11726,69682,817091132,No,0.36
C0193,Nissan,Elantra,Mexico,Nagoya,2013,Diesel,Manual,Crossover,52771,54200,2860188200,No,1.27
C0194,Toyota,Civic,USA,Nagoya,2011,Petrol,Automatic,SUV,10546,32970,347701620,No,2.44
C0195,Mercedes,Passat,Japan,São Paulo,2022,Hybrid,Automatic,Sedan,37617,20895,786007215,No,1.8
C0196,Nissan,A-Class,Brazil,Monterrey,2021,Diesel,Manual,Truck,5465,48071,262708015,No,0.75
C0197,Hyundai,Passat,USA,Shanghai,2020,Petrol,Automatic,SUV,59978,62268,3734710104,No,1.98
C0198,Tesla,Mustang,France,Monterrey,2020,Diesel,Automatic,Truck,79372,32258,2560381976,No,1.49
C0199,Ford,A-Class,Brazil,Paris,2023,Electric,Automatic,Hatchback,57777,67300,3888392100,Yes,1.43
C0200,Mercedes,Mustang,South Korea,London,2020,Petrol,Manual,SUV,60113,71915,4323026395,No,2.85
C0201,Mercedes,Passat,France,Shanghai,2010,Petrol,Automatic,Crossover,17873,18444,329649612,No,1.49
C0202,Toyota,Corolla,Brazil,Seoul,2013,Diesel,Automatic,Crossover,45952,76535,3516936320,No,0.19
C0203,Volkswagen,Mustang,Mexico,London,2024,Hybrid,Automatic,Coupe,50589,13760,696104640,No,0.3
C0204,Mercedes,A-Class,Mexico,São Paulo,2016,Electric,Automatic,Sedan,7154,46884,335408136,Yes,3.01
C0205,BMW,A-Class,India,Monterrey,2019,Hybrid,Automatic,Sedan,31780,36022,1144779160,No,3.37
C0206,Tesla,Mustang,UK,Monterrey,2020,Petrol,Automatic,Truck,56641,64504,3653571064,No,2.44
C0207,Tesla,3 Series,Mexico,London,2015,Hybrid,Automatic,Sedan,68394,53130,3633773220,No,1.34
C0208,BMW,Passat,South Korea,Nagoya,2015,Petrol,Manual,Coupe,27083,53881,1459259123,No,3.29
C0209,Kia,3 Series,Japan,Monterrey,2020,Hybrid,Manual,Crossover,6860,72399,496657140,No,2.35
C0210,BMW,Optima,Germany,São Paulo,2018,Diesel,Automatic,SUV,54468,46451,2530093068,No,2.97
C0211,BMW,Passat,India,Seoul,2023,Hybrid,Automatic,SUV,4243,61413,260575359,No,2.7
C0212,Tesla,Mustang,Germany,Munich,2024,Petrol,Automatic,Crossover,7659,72278,553577202,No,1.39
C0213,Honda,Model X,UK,Seoul,2011,Electric,Manual,Hatchback,32651,39639,1294252989,Yes,1.73
C0214,Tesla,Mustang,Brazil,Seoul,2013,Electric,Automatic,Crossover,1018,44621,45424178,Yes,0.73
C0215,Volkswagen,3 Series,China,Monterrey,2014,Electric,Automatic,SUV,17152,23079,395851008,Yes,1.09
C0216,Toyota,Corolla,Mexico,Detroit,2010,Petrol,Automatic,Truck,78961,16895,1334046095,No,2.75
C0217,Nissan,Mustang,Japan,Nagoya,2017,Hybrid,Automatic,Coupe,71511,62142,4443836562,No,3.14
C0218,Honda,Mustang,UK,Monterrey,2017,Electric,Automatic,Crossover,42848,22552,966308096,Yes,2.56
C0219,Ford,Corolla,Germany,Nagoya,2015,Electric,Automatic,Hatchback,75922,58821,4465807962,Yes,1.68
C0220,Nissan,Mustang,India,Paris,2021,Electric,Automatic,Truck,77501,43630,3381368630,Yes,0.39
C0221,Toyota,Elantra,Mexico,Detroit,2014,Diesel,Manual,Crossover,77257,22247,1718736479,No,0.29
C0222,Volkswagen,Model X,South Korea,Monterrey,2017,Petrol,Automatic,Truck,24895,27603,687176685,No,1.37
C0223,Volkswagen,Civic,Mexico,Chennai,2012,Petrol,Automatic,Crossover,2835,55564,157523940,No,1.68
C0224,Ford,Model X,India,Seoul,2012,Petrol,Automatic,Truck,70612,10527,743332524,No,2.17
C0225,Honda,Mustang,India,Paris,2011,Petrol,Automatic,Sedan,1000,66521,66521000,No,0.12
C0226,Kia,Elantra,China,Detroit,2014,Petrol,Automatic,Truck,8583,78458,673405014,No,3.47
C0227,BMW,Passat,Mexico,Monterrey,2012,Diesel,Automatic,Sedan,6043,15849,95775507,No,1.34
C0228,Honda,Mustang,Mexico,São Paulo,2012,Hybrid,Automatic,SUV,69312,60314,4180483968,No,2.98
C0229,Kia,3 Series,China,London,2024,Diesel,Automatic,Sedan,52737,55724,2938716588,No,1.92
C0230,Volkswagen,Elantra,France,London,2015,Electric,Automatic,Truck,7113,27230,193686990,Yes,0.54
C0231,Tesla,Corolla,France,Nagoya,2017,Diesel,Automatic,Coupe,67363,52730,3552050990,No,2.81
C0232,Toyota,Elantra,Brazil,Detroit,2011,Petrol,Manual,Coupe,41040,13323,546775920,No,2.51
C0233,Ford,Corolla,France,Seoul,2013,Diesel,Automatic,SUV,76702,10445,801152390,No,1.89
C0234,Toyota,Optima,USA,Seoul,2020,Petrol,Automatic,Truck,26755,19963,534110065,No,1.85
C0235,Hyundai,Civic,Mexico,Munich,2016,Diesel,Automatic,Sedan,22568,60511,1365612248,No,0.4
C0236,Hyundai,Altima,Japan,London,2010,Petrol,Automatic,Coupe,49557,25437,1260581409,No,2.33
C0237,Honda,Elantra,Mexico,Paris,2010,Electric,Automatic,Crossover,19446,26855,522222330,Yes,3.2
C0238,Volkswagen,A-Class,USA,Detroit,2021,Petrol,Automatic,Hatchback,21047,20847,438766809,No,0.42
C0239,Volkswagen,3 Series,USA,Seoul,2022,Diesel,Manual,Truck,6269,13236,82976484,No,1.0
C0240,BMW,Mustang,Germany,Munich,2019,Electric,Automatic,Crossover,25383,71897,1824961551,Yes,3.17
C0241,BMW,3 Series,Mexico,Detroit,2016,Diesel,Automatic,Crossover,61840,23487,1452436080,No,1.07
C0242,BMW,Model X,UK,Shanghai,2023,Electric,Manual,Truck,79699,72423,5772040677,Yes,2.32
C0243,Tesla,Altima,USA,Seoul,2016,Hybrid,Manual,Hatchback,35662,23155,825753610,No,1.92
