RestaurantID,RestaurantName,CuisineType,City,Rating,AverageCostForTwo,DeliveryAvailable,NumberOfReviews,EstablishedYear,MonthlyRevenue
R0118,Spice House,French,London,4.3,1690,No,1995,2016,58830
R0119,Blue Hub,French,San Francisco,2.6,450,Yes,1649,1999,70530
R0120,Fire Garden,Mediterranean,Berlin,4.7,1020,Yes,309,2002,172330
R0121,Ocean Corner,Korean,London,4.7,1270,Yes,756,2007,141240
R0122,Red Lounge,Korean,Singapore,3.6,1300,Yes,1455,1989,31280
R0123,Street Lounge,Indian,Berlin,4.0,790,No,1340,2011,167160
R0124,Urban Bistro,French,San Francisco,4.9,580,Yes,1989,2017,88650
R0125,Green Café,Italian,Berlin,3.8,1420,Yes,283,1986,164070
R0126,Spice Hub,Mexican,San Francisco,4.8,550,Yes,270,2022,103240
R0127,Ocean Café,Mexican,Berlin,2.7,400,No,1272,2012,94070
R0128,Urban Corner,Japanese,London,3.0,1880,No,945,2008,92450
R0129,Ocean Garden,French,Tokyo,3.6,1370,Yes,1807,2005,66650
R0130,Spice Kitchen,French,Dubai,4.0,670,Yes,341,2015,62200
R0131,Street Lounge,Mexican,London,4.5,450,Yes,124,1995,137310
R0132,Street Lounge,French,New York,5.0,550,Yes,277,2012,131800
R0133,Spice House,Indian,Paris,3.5,1710,Yes,21,1988,144940
R0134,Golden Bistro,American,Tokyo,2.6,1470,Yes,82,2000,134850
R0135,Green Hub,Chinese,Singapore,4.5,1680,Yes,1025,1996,23110
R0136,Red Lounge,Korean,Toronto,4.0,1650,Yes,883,2006,74340
R0137,Green Hub,Mediterranean,London,3.0,340,Yes,415,2019,175670
R0138,Royal Grill,Japanese,Berlin,3.7,980,No,1850,2000,179800
R0139,Blue Lounge,American,London,4.4,1530,No,187,2008,187850
R0140,Green House,Mexican,Sydney,4.4,1900,Yes,781,2019,199800
R0141,Spice Café,Korean,Tokyo,3.7,1780,No,955,2012,21210
R0142,Urban Café,French,Dubai,3.3,470,Yes,1292,2013,27500
R0143,Blue Hub,Mediterranean,Singapore,4.9,1550,Yes,409,2005,184890
R0144,Ocean Hub,French,Sydney,4.2,1760,Yes,279,2009,89340
R0145,Golden Grill,Italian,San Francisco,3.5,1680,No,1865,2023,112510
R0146,Ocean Lounge,Italian,Sydney,3.2,1390,Yes,1665,2015,143590
R0147,Golden Bistro,Mediterranean,London,4.3,1070,Yes,1714,1999,148550
R0148,Fire Kitchen,Mediterranean,Singapore,3.1,1970,Yes,495,2019,196280
R0149,Red House,Mexican,London,2.9,500,No,1613,2022,112010
R0150,Royal Hub,Mediterranean,San Francisco,3.8,660,No,68,2006,52820
R0151,Spice Kitchen,Indian,Toronto,3.2,530,Yes,651,1989,42750
R0152,Ocean Café,French,Singapore,4.1,210,No,896,1997,27650
R0153,Fire Garden,American,Toronto,2.8,1250,Yes,275,2016,47150
R0154,Urban Bistro,Thai,Tokyo,4.1,1130,No,84,1987,198810
R0155,Blue Kitchen,Mediterranean,Tokyo,3.2,910,No,1123,1999,141380
R0156,Spice Garden,Japanese,Toronto,2.5,710,Yes,514,2011,139240
R0157,Fire Lounge,Italian,Tokyo,2.8,1540,No,366,2011,70660
R0158,Golden Lounge,Indian,Singapore,4.8,1660,Yes,163,2014,24890
R0159,Urban Palace,Korean,Berlin,4.7,1090,No,1933,1990,83740
R0160,Red Kitchen,Thai,New York,3.1,1110,No,1251,2009,39350
R0161,Red Bistro,American,Tokyo,4.4,1620,Yes,495,2012,47490
R0162,Red Corner,Thai,Tokyo,4.0,970,Yes,1573,2006,134880
R0163,Royal Hub,Mediterranean,London,4.9,1950,Yes,1163,1988,138830
R0164,Urban Lounge,Mexican,Toronto,3.4,1440,No,75,1999,112950
R0165,Urban Grill,Italian,Paris,4.2,1610,No,1177,2010,94640
R0166,Red Café,Italian,Dubai,2.7,1500,Yes,389,2002,141370
R0167,Royal Hub,Korean,Sydney,3.5,690,Yes,1346,1993,82860
R0168,Red Grill,Mexican,Tokyo,4.9,1120,Yes,416,1988,149950
R0169,Golden Lounge,French,Sydney,3.8,1430,Yes,1440,1989,61490
R0170,Urban Palace,Chinese,Singapore,3.2,730,Yes,286,1990,78480
R0171,Spice Grill,Indian,Paris,2.8,1530,Yes,624,1996,96560
R0172,Red Palace,Italian,Dubai,4.3,1960,Yes,1442,2015,43450
R0173,Blue Corner,Japanese,Toronto,4.1,1700,Yes,323,1993,86800
R0174,Green Café,Italian,New York,3.4,970,Yes,558,1991,107700
R0175,Spice House,Thai,Dubai,4.9,970,No,1282,2013,147870
R0176,Red Kitchen,Italian,Dubai,2.6,390,Yes,1978,1998,128630
R0177,Street Garden,Italian,New York,3.3,1100,Yes,470,2004,89840
R0178,Green Garden,Chinese,Berlin,4.8,1180,Yes,408,2016,72560
R0179,Fire Kitchen,Chinese,Toronto,3.3,1920,Yes,1701,2006,85510
R0180,Urban Garden,American,London,3.1,750,Yes,460,2020,186620
R0181,Ocean House,French,Sydney,3.8,210,Yes,480,2002,34680
R0182,Fire Grill,Japanese,Tokyo,4.6,1240,Yes,1677,2009,111320
R0183,Fire Lounge,Italian,Dubai,2.8,1920,No,1592,2015,43180
R0184,Golden Corner,Italian,Singapore,4.9,1870,Yes,1467,2019,65360
R0185,Golden Corner,Indian,New York,4.5,1310,Yes,965,2010,73470
R0186,Blue Bistro,Chinese,Sydney,3.0,430,Yes,1479,1988,164620
R0187,Royal Corner,Japanese,Paris,4.3,1760,Yes,716,2004,155810
R0188,Fire Café,Korean,New York,3.5,1280,No,112,2018,120670
R0189,Green Palace,American,Paris,3.5,870,No,337,1996,52260
R0190,Ocean Lounge,French,Toronto,4.5,1330,Yes,1716,2000,139200
R0191,Royal Grill,Mexican,Dubai,4.9,1030,Yes,610,1989,172720
R0192,Urban Corner,French,Singapore,2.8,680,No,255,2019,48190
R0193,Red Lounge,Thai,Tokyo,3.6,510,Yes,1091,2011,59700
R0194,Street Grill,Italian,Paris,3.7,800,Yes,114,1985,122580
R0195,Blue Garden,American,Sydney,3.4,1890,Yes,701,2018,188080
R0196,Golden Hub,Thai,Berlin,3.4,1480,Yes,981,2016,41050
R0197,Green Garden,Japanese,Toronto,2.6,1210,No,1102,2023,179070
R0198,Spice House,Mexican,Berlin,4.2,540,Yes,1002,2017,118750
R0199,Red Kitchen,Chinese,Toronto,3.6,700,Yes,1335,2015,133650
R0200,Street Palace,American,London,3.0,640,Yes,162,1997,51470
R0201,Blue Grill,American,Sydney,4.5,960,No,1570,1986,142530
R0202,Red Garden,Italian,Berlin,4.5,1320,Yes,1922,2014,151020
R0203,Royal Palace,Mediterranean,Singapore,3.7,840,No,1068,1994,99010
R0204,Urban Garden,American,Dubai,3.2,330,Yes,966,2007,195580
R0205,Fire Palace,Indian,New York,4.1,1120,No,1048,2017,120010
R0206,Spice Café,Mexican,Tokyo,3.2,1500,Yes,1139,2023,22340
R0207,Street Lounge,Mexican,Dubai,3.1,430,Yes,739,2013,67700
R0208,Street Café,Indian,Dubai,4.3,840,Yes,1929,2014,71280
R0209,Green Café,Korean,Toronto,2.6,1950,No,83,2018,101590
R0210,Blue Grill,Indian,Singapore,2.7,1570,Yes,865,2023,44740
R0211,Blue House,Indian,Toronto,2.5,320,Yes,1964,2001,22260
R0212,Street House,Mexican,San Francisco,2.9,1610,Yes,294,2006,81600
R0213,Golden Café,French,Paris,2.7,1190,Yes,1583,1989,128020
R0214,Royal Garden,Mexican,Tokyo,5.0,1570,No,1230,1995,120070
R0215,Fire Grill,Mediterranean,Paris,3.2,1870,Yes,289,2006,73570
R0216,Blue Bistro,Italian,New York,2.9,1700,No,796,2016,197940
R0217,Blue Corner,Thai,San Francisco,3.1,1180,Yes,695,2008,67640
R0218,Royal Grill,French,Sydney,4.8,740,No,1850,1995,165890
R0219,Blue Bistro,Chinese,New York,3.8,820,Yes,1589,1995,120370
R0220,Fire Palace,Thai,New York,3.4,900,Yes,978,2001,33370
R0221,Spice Grill,Italian,London,4.7,1890,Yes,1699,2016,74200
R0222,Golden Garden,Mediterranean,Tokyo,3.5,1180,No,1186,2003,185010
R0223,Red Kitchen,Mediterranean,Toronto,3.3,850,Yes,300,2011,38130
R0224,Green Café,Chinese,Singapore,3.0,980,Yes,941,2016,117790
R0225,Red Palace,French,Paris,3.4,920,No,1175,2009,134440
R0226,Royal Café,Korean,New York,3.3,660,No,777,2012,43740
R0227,Blue Bistro,Indian,Paris,4.2,1000,No,321,2011,35260
R0228,Green Lounge,French,Paris,3.2,1450,Yes,655,1998,137590
R0229,Spice Garden,Korean,Sydney,3.9,710,Yes,1065,2023,90870
R0230,Golden House,Mediterranean,Tokyo,2.7,1650,No,35,1986,107930
R0231,Green Kitchen,Mexican,Tokyo,3.0,1650,Yes,1944,2001,56140
R0232,Fire Lounge,Italian,Berlin,3.5,1710,Yes,264,1985,41490
R0233,Blue Corner,Chinese,Dubai,4.8,420,Yes,1978,2016,105790
R0234,Fire Hub,Italian,Tokyo,3.4,1590,No,1768,2003,160150
R0235,Urban Palace,Japanese,Paris,4.2,1700,Yes,1089,1998,46960
R0236,Street Hub,Japanese,Toronto,3.1,400,No,302,2015,146260
R0237,Red Café,French,Paris,2.8,830,Yes,646,2002,165190
R0238,Blue Kitchen,Mediterranean,Toronto,2.6,910,No,239,1998,173140
R0239,Urban House,Mediterranean,Berlin,3.3,1810,Yes,62,1998,140250
R0240,Fire Palace,Indian,Toronto,2.9,1490,Yes,963,2008,33050
R0241,Blue Kitchen,Indian,Tokyo,2.9,880,Yes,110,1989,154390
R0242,Royal Kitchen,Indian,Sydney,4.4,1780,No,1500,2000,27160
R0243,Red Grill,Mexican,Toronto,2.5,870,Yes,1879,1989,77580
R0244,Royal House,Thai,Paris,3.9,1660,No,813,1997,131830
R0245,Green Palace,American,Singapore,3.4,1470,Yes,878,2000,105050
R0246,Golden Corner,Thai,Tokyo,3.8,1260,Yes,276,1999,42800
R0247,Urban House,Italian,Singapore,3.9,1280,Yes,1828,2015,170800
R0248,Fire Hub,Thai,San Francisco,3.3,910,Yes,11,1989,110790
R0249,Green Bistro,Mexican,San Francisco,3.2,1220,No,31,2005,82780
R0250,Fire Garden,Italian,Paris,4.3,1600,Yes,587,2014,60290
R0251,Royal Hub,Thai,San Francisco,4.7,840,No,221,2007,50630
R0252,Green Lounge,Mexican,Dubai,3.0,1530,No,1269,2022,153130
R0253,Street Garden,American,Berlin,2.7,1310,Yes,1913,2013,103520
R0254,Spice Lounge,Thai,Tokyo,4.7,1740,Yes,538,1997,123790
R0255,Royal Bistro,Mexican,Singapore,3.4,980,Yes,397,2016,125430
R0256,Urban Corner,Indian,Paris,3.9,1990,No,23,2011,58920
R0257,Blue Hub,Mediterranean,Dubai,3.4,1450,Yes,528,2018,115620
R0258,Green Grill,Indian,Paris,2.8,1400,Yes,1880,2017,53950
R0259,Royal Grill,Mediterranean,Dubai,4.0,1060,No,1255,1988,183590
R0260,Red Garden,Chinese,San Francisco,3.8,670,Yes,1945,2002,44540
R0261,Spice Garden,Chinese,San Francisco,3.0,1070,Yes,625,1990,178280
R0262,Urban Grill,Chinese,Toronto,3.6,870,Yes,971,2012,69570
R0263,Golden Bistro,American,London,4.5,1910,Yes,412,2011,82920
R0264,Fire Grill,Indian,Paris,4.0,1200,Yes,1546,2010,106960
R0265,Red Corner,Mediterranean,Toronto,2.7,360,Yes,296,2004,139590
R0266,Green Lounge,Mexican,Tokyo,3.9,570,No,393,1997,148120
R0267,Spice Kitchen,Italian,Toronto,4.3,1570,Yes,1280,2012,115950
R0268,Ocean Bistro,Mexican,New York,4.5,730,Yes,1933,2018,119590
R0269,Royal Hub,Italian,San Francisco,4.1,1530,Yes,1124,2007,173830
R0270,Fire Kitchen,Japanese,New York,2.9,1530,Yes,835,1994,108920
R0271,Ocean Grill,Mexican,Paris,4.3,710,Yes,321,2014,143130
R0272,Ocean Kitchen,Thai,Singapore,4.2,340,Yes,1470,2006,20100
R0273,Blue Bistro,Thai,Singapore,2.6,870,Yes,735,1989,150950
R0274,Green Kitchen,French,Tokyo,3.5,1310,Yes,52,1993,72210
R0275,Spice Bistro,Indian,Toronto,3.3,1230,Yes,1107,1988,174710
R0276,Ocean Lounge,Italian,Singapore,4.2,260,Yes,763,1985,56770
R0277,Street House,Italian,Dubai,3.0,700,Yes,1002,2018,130110
R0278,Blue House,Indian,Dubai,4.0,770,Yes,1594,2010,171050
R0279,Fire Palace,American,Tokyo,4.8,1280,Yes,1913,2002,93340
R0280,Green Hub,French,Berlin,4.5,1300,Yes,885,2000,139840
R0281,Urban Garden,American,San Francisco,4.8,1730,Yes,1349,2007,71640
R0282,Spice Lounge,American,Toronto,4.9,500,Yes,743,2020,110330
R0283,Golden Bistro,American,Paris,2.5,1110,No,1895,2010,168890
R0284,Spice Garden,Indian,Sydney,4.1,1250,Yes,153,1986,22840
R0285,Ocean House,American,Sydney,3.5,320,Yes,1362,1989,85430
R0286,Fire Lounge,Thai,Sydney,4.6,1650,Yes,218,2013,75700
R0287,Blue Hub,Chinese,Singapore,3.1,1380,No,1132,1988,95230
R0288,Golden Palace,Japanese,Berlin,5.0,1600,Yes,709,2019,130230
R0289,Spice Grill,Italian,Berlin,4.0,1340,No,123,2006,147120
R0290,Spice House,Italian,Toronto,4.5,1710,No,184,1992,30290
R0291,Red Hub,Japanese,Toronto,2.7,760,Yes,280,2005,97550
R0292,Blue Hub,Indian,Berlin,3.0,1450,Yes,72,1992,25530
R0293,Green House,Mexican,Tokyo,4.4,1760,Yes,1017,1989,186510
R0294,Street Kitchen,Indian,Toronto,2.6,730,Yes,805,2005,162030
R0295,Royal Hub,Italian,Tokyo,4.5,1520,Yes,1437,2011,32400
R0296,Golden Café,Italian,New York,2.5,1820,No,234,2022,61590
R0297,Fire Palace,Japanese,Dubai,4.1,380,Yes,1992,1989,127800
R0298,Golden Hub,American,San Francisco,3.4,960,Yes,170,2005,106610
R0299,Royal Kitchen,Indian,Toronto,4.0,880,No,1069,1992,52870
R0300,Golden Kitchen,Mediterranean,Berlin,4.2,630,Yes,390,2006,122150
R0301,Ocean Palace,Japanese,Dubai,3.4,570,No,1686,2002,117810
R0302,Blue Lounge,Thai,Dubai,2.8,810,Yes,327,1988,179510
R0303,Green Garden,Italian,London,2.7,410,Yes,717,1988,73130
R0304,Golden Garden,Japanese,Berlin,4.0,920,Yes,1696,2021,170470
R0305,Spice Café,Indian,San Francisco,3.8,1870,No,465,1999,122520
R0306,Street Hub,Italian,Berlin,4.4,1730,Yes,1302,2022,63170
R0307,Urban Lounge,Mexican,Toronto,3.8,1440,No,353,2011,116110
R0308,Green Palace,Japanese,Paris,3.6,240,Yes,1073,2005,28380
R0309,Red Café,French,New York,3.5,730,No,1783,1988,104610
R0310,Blue Corner,Italian,Tokyo,2.6,1050,No,423,1995,159220
R0311,Ocean Garden,Indian,Paris,3.3,1960,No,1413,2003,68270
R0312,Urban Palace,Chinese,New York,4.9,220,Yes,1255,2003,149030
R0313,Urban Hub,Mediterranean,Paris,4.7,570,Yes,1314,2011,164000
R0314,Green Hub,Korean,Tokyo,3.3,1610,Yes,234,2012,40750
R0315,Fire Palace,American,Singapore,4.0,1940,Yes,1490,1989,196960
R0316,Spice Kitchen,Korean,Berlin,4.6,1610,Yes,1187,2009,182790
R0317,Street Garden,Indian,Paris,3.6,920,No,289,1987,161900
R0318,Urban Kitchen,Thai,Toronto,2.5,570,Yes,1386,2010,170840
R0319,Green House,Thai,San Francisco,2.7,1910,No,1072,1994,145330
R0320,Spice Grill,Chinese,Sydney,3.8,1440,Yes,738,2008,167230
R0321,Street House,American,Toronto,4.9,890,Yes,1789,2013,172640
R0322,Royal Hub,French,Tokyo,4.2,840,Yes,630,1991,182460
R0323,Street Palace,Chinese,San Francisco,2.7,440,No,984,2007,166010
R0324,Green Corner,Korean,Toronto,3.0,350,Yes,582,2011,109950
R0325,Spice Kitchen,Chinese,Dubai,4.4,340,No,498,1993,165630
R0326,Golden Lounge,Korean,Berlin,4.6,1500,Yes,1017,1987,139340
R0327,Street Garden,Italian,San Francisco,4.0,560,No,1978,1997,146750
R0328,Royal Hub,Thai,Dubai,4.1,1440,Yes,946,1990,85210
R0329,Street Grill,Italian,Toronto,2.6,1320,Yes,1231,2022,83550
R0330,Royal Hub,Mediterranean,New York,4.6,1850,Yes,1309,2005,67710
R0331,Green Lounge,American,London,4.5,200,No,1205,2003,46960
R0332,Green House,French,New York,3.1,900,Yes,793,2009,144580
R0333,Urban Corner,Korean,Berlin,4.3,1220,No,517,2023,154630
R0334,Blue Café,French,San Francisco,3.0,380,Yes,414,1988,77960
R0335,Spice Hub,Korean,San Francisco,2.6,710,No,1304,2006,28080
R0336,Urban Corner,Indian,Berlin,3.0,1370,Yes,1968,1989,123430
R0337,Street Kitchen,Chinese,Dubai,2.9,1770,Yes,1587,1985,52930
R0338,Red Café,Mediterranean,London,3.3,1260,Yes,1734,2001,114970
R0339,Fire Bistro,Thai,Toronto,3.5,740,No,781,1993,54590
R0340,Spice Palace,Korean,Tokyo,3.8,330,No,673,1993,62240
R0341,Spice Bistro,French,New York,3.7,320,Yes,140,2008,95710
R0342,Golden Bistro,Mediterranean,New York,3.2,1030,No,1659,1994,161710
R0343,Street Palace,Mexican,Sydney,2.6,1090,Yes,1418,2004,173230
R0344,Ocean Café,Mexican,London,4.0,460,No,1767,2001,87510
R0345,Blue Lounge,Italian,Tokyo,3.5,1080,Yes,1430,1997,117170
R0346,Royal Lounge,Thai,New York,3.2,1560,Yes,1599,2013,174110
R0347,Red Kitchen,Indian,Tokyo,4.7,600,Yes,1883,2020,82370
R0348,Ocean House,French,Toronto,4.4,670,Yes,1329,2007,117910
R0349,Spice Corner,Chinese,San Francisco,4.6,310,Yes,1416,2011,112360
R0350,Golden Corner,Chinese,Tokyo,3.7,1570,No,1545,2002,123450
R0351,Golden Café,French,New York,2.8,250,Yes,1428,2002,161590
R0352,Street Grill,American,Dubai,4.2,1810,No,1587,1993,73190
R0353,Street House,Indian,London,3.0,1990,No,1638,1987,33750
R0354,Royal House,Mediterranean,Berlin,3.6,600,Yes,1293,1991,101300
R0355,Golden House,Korean,Paris,2.7,250,Yes,290,1999,89920
R0356,Royal Café,American,Singapore,4.6,1490,Yes,1389,2014,158500
R0357,Spice House,Korean,Singapore,2.8,340,No,429,1993,152350
R0358,Blue Hub,Korean,Paris,4.8,1640,No,1225,2011,199820
R0359,Urban Café,American,Tokyo,4.7,350,No,646,2020,69490
R0360,Red Garden,Italian,London,3.7,1750,Yes,1461,2002,85720
R0361,Blue House,Mexican,Tokyo,4.4,1040,No,817,2015,157300
R0362,Red Café,Korean,Berlin,4.0,290,Yes,357,2001,145890
R0363,Fire Kitchen,American,London,4.5,1570,Yes,438,1990,190220
