Restaurant_ID,Restaurant_Name,Cuisine_Type,City,Average_Rating,Average_Cost_for_Two,Number_of_Reviews
1069,Biryani Express,Mexican,Pune,3.1,1750,56
1070,Asian Delight,Mexican,Hyderabad,3.9,1450,1335
1071,The Coffee House,Chinese,Pune,4,1700,1386
1072,Biryani Express,Continental,Bangalore,3.4,1600,762
1073,Noodle Bar,Continental,Kolkata,4.1,400,1294
1074,Bella Italia,Mexican,Kolkata,4.6,2300,1369
1075,Pasta Punto,Japanese,Jaipur,4.4,2000,1988
1076,Steak Story,Italian,Delhi,3.6,2400,1422
1077,Café Aroma,Mexican,Pune,3.4,1000,653
1078,Spice Villa,Indian,Chennai,5,2350,348
1079,Pasta Punto,Mediterranean,Chennai,4.4,1600,2074
1080,Biryani Express,Mexican,Bangalore,4.3,400,486
1081,Veggie Tales,Mediterranean,Chennai,3.4,2050,1952
1082,Urban Bites,Mexican,Delhi,3.9,1850,2225
1083,Burger Town,Cafe,Jaipur,4.2,2000,1797
1084,Burger Town,Japanese,Bangalore,4.5,1900,1893
1085,Curry Leaf,Mexican,Pune,4.5,2050,2034
1086,Coastal Catch,Mexican,Pune,3.9,1300,1010
1087,Curry Leaf,Cafe,Hyderabad,4.8,650,616
1088,The Grill Room,Mexican,Kolkata,4.4,1050,313
1089,Smokehouse Deli,Mediterranean,Hyderabad,4.1,1700,305
1090,Dragon Hut,Mediterranean,Kolkata,4.8,2250,130
1091,Veggie Tales,Mediterranean,Jaipur,3,1500,1273
1092,Veggie Tales,Mediterranean,Kolkata,4.1,2100,953
1093,Royal Tandoor,Mexican,Pune,3.9,450,1642
1094,The Green Bowl,Mediterranean,Bangalore,4.7,800,2237
1095,Spice Villa,Mediterranean,Mumbai,3.2,1750,605
1096,Pasta Punto,Italian,Mumbai,3.5,1400,916
1097,Pasta Punto,Cafe,Hyderabad,4.5,1600,1189
1098,Veggie Tales,Mediterranean,Pune,4.7,1900,129
1099,Steak Story,Indian,Hyderabad,3.4,600,214
1100,Veggie Tales,Indian,Chennai,3.4,450,674
1101,Olive Tree,Italian,Jaipur,4.3,2200,942
1102,Pasta Punto,Continental,Hyderabad,3.3,2300,519
1103,Veggie Tales,Italian,Pune,3.2,450,1327
1104,Kebab Corner,Mediterranean,Kolkata,4.9,1000,361
1105,Kebab Corner,Mexican,Delhi,4.4,1350,545
1106,Kebab Corner,Indian,Hyderabad,4.1,1550,332
1107,Asian Delight,Cafe,Mumbai,4.7,1950,482
1108,Smokehouse Deli,Cafe,Jaipur,4.4,1750,771
1109,Steak Story,Continental,Jaipur,3.9,2250,1149
1110,The Green Bowl,Mexican,Delhi,3.6,1800,1048
1111,Veggie Tales,Japanese,Kolkata,3.7,1950,1381
1112,Masala Junction,Japanese,Chennai,3.7,1200,1444
1113,Curry Leaf,Continental,Mumbai,4,1000,400
1114,Olive Tree,Mediterranean,Jaipur,4.1,1150,2000
1115,Coastal Catch,Japanese,Jaipur,4.6,650,1255
1116,Olive Tree,Mediterranean,Chennai,3.6,2250,1561
1117,Royal Tandoor,Cafe,Kolkata,5,2150,1404
1118,Sushi Garden,Japanese,Pune,3.6,1100,544
1119,Steak Story,Mexican,Hyderabad,3.2,2100,808
1120,Dragon Hut,Mexican,Jaipur,3.6,2250,2198
1121,Noodle Bar,Continental,Delhi,4.7,1300,981
1122,Sushi Garden,Italian,Pune,3,2100,568
1123,Curry Leaf,Indian,Mumbai,4.1,800,2060
1124,Taco Fiesta,Indian,Pune,3.9,1800,1445
1125,Masala Junction,Indian,Pune,4.9,1900,517
1126,Café Aroma,Mediterranean,Jaipur,3.1,2400,269
1127,The Grill Room,Italian,Pune,3.2,1150,535
1128,Burger Town,Mediterranean,Chennai,4.6,1600,1895
1129,Pasta Punto,Continental,Kolkata,3.6,2350,296
1130,Noodle Bar,Chinese,Chennai,4.3,1200,382
1131,Masala Junction,Mexican,Bangalore,4.1,900,60
1132,Smokehouse Deli,Japanese,Jaipur,3.6,1100,1230
1133,Pizza Plaza,Continental,Jaipur,3.1,1100,1133
1134,Coastal Catch,Mexican,Kolkata,3.2,1100,660
1135,Curry Leaf,Italian,Delhi,3.1,1350,2487
1136,Steak Story,Continental,Jaipur,3.2,1350,1698
1137,Curry Leaf,Japanese,Jaipur,3.2,500,1819
1138,Steak Story,Cafe,Pune,3.1,1100,2406
1139,Kebab Corner,Indian,Pune,4.2,950,1977
1140,Asian Delight,Japanese,Pune,3.4,2250,1835
1141,Coastal Catch,Japanese,Delhi,3.9,1700,1415
1142,The Green Bowl,Chinese,Bangalore,3.7,1950,1230
1143,The Coffee House,Mediterranean,Mumbai,3.9,1400,1083
1144,The Green Bowl,Chinese,Kolkata,4.7,400,2272
1145,Pasta Punto,Mediterranean,Mumbai,3.4,1550,2091
1146,Coastal Catch,Japanese,Mumbai,3.4,2150,586
1147,Bella Italia,Japanese,Jaipur,3.2,2400,1030
1148,Pizza Plaza,Italian,Pune,4.1,2150,1721
1149,Café Aroma,Mexican,Delhi,3.9,750,680
1150,Royal Tandoor,Continental,Pune,3.8,1900,1984
1151,Olive Tree,Japanese,Bangalore,3.8,2300,2131
1152,Steak Story,Italian,Delhi,3.6,1700,1442
1153,Asian Delight,Continental,Mumbai,3.6,1350,2454
1154,Kebab Corner,Japanese,Bangalore,3.9,1900,1463
1155,The Green Bowl,Mediterranean,Jaipur,4.9,1000,1028
1156,Kebab Corner,Mediterranean,Chennai,4.7,1700,228
1157,The Green Bowl,Japanese,Kolkata,3.8,2450,673
1158,Royal Tandoor,Indian,Bangalore,4,2250,1409
1159,Taco Fiesta,Japanese,Delhi,4.1,1850,112
1160,Steak Story,Italian,Kolkata,4.7,850,356
1161,Royal Tandoor,Continental,Hyderabad,4.2,1650,378
1162,The Green Bowl,Mediterranean,Hyderabad,4.3,1950,2266
1163,Urban Bites,Chinese,Chennai,4.3,1300,981
1164,Steak Story,Chinese,Kolkata,5,2400,461
1165,Pasta Punto,Italian,Pune,4.8,500,1378
1166,Urban Bites,Continental,Hyderabad,3.7,850,1050
1167,Asian Delight,Mediterranean,Bangalore,3.3,650,1616
1168,Noodle Bar,Mexican,Jaipur,4.8,850,1001
1169,Pasta Punto,Continental,Jaipur,3.5,400,1955
1170,Bella Italia,Italian,Delhi,3.9,1500,2456
1171,Bella Italia,Mediterranean,Pune,3.9,1350,865
1172,Biryani Express,Japanese,Delhi,3.5,2200,1520
1173,Kebab Corner,Continental,Pune,3,1650,1174
1174,Spice Villa,Indian,Jaipur,4.7,1300,992
1175,Noodle Bar,Cafe,Chennai,4.3,2350,1076
1176,The Coffee House,Italian,Delhi,4.8,2450,211
1177,Bella Italia,Japanese,Mumbai,4.2,800,419
1178,Bella Italia,Cafe,Kolkata,3.4,800,2259
1179,Sushi Garden,Continental,Bangalore,3.5,1900,1258
1180,Steak Story,Cafe,Delhi,3.9,600,626
1181,Veggie Tales,Mexican,Kolkata,4.9,2150,1548
1182,Café Aroma,Mediterranean,Mumbai,3.5,750,1912
1183,Sushi Garden,Continental,Kolkata,4.6,1550,493
1184,The Coffee House,Mexican,Jaipur,3.1,2150,1393
1185,Noodle Bar,Mexican,Delhi,4.3,1850,1287
1186,Coastal Catch,Mediterranean,Delhi,3.3,500,1296
1187,Royal Tandoor,Chinese,Delhi,3.5,2100,605
1188,Biryani Express,Japanese,Hyderabad,4.3,2100,1766
1189,Kebab Corner,Italian,Kolkata,4.3,1950,1721
1190,Curry Leaf,Indian,Hyderabad,3.4,1800,1017
1191,Sushi Garden,Chinese,Hyderabad,4.1,2450,1519
1192,Urban Bites,Mediterranean,Pune,3.4,750,1912
1193,Café Aroma,Mexican,Mumbai,3.1,1450,1047
1194,The Grill Room,Mexican,Delhi,4.7,2150,898
1195,Kebab Corner,Mexican,Chennai,3.7,850,2491
1196,Spice Villa,Continental,Bangalore,5,2100,1076
1197,Masala Junction,Chinese,Mumbai,3.3,1500,1024
1198,Kebab Corner,Cafe,Mumbai,3.3,550,569
1199,Steak Story,Mediterranean,Delhi,4.5,1900,1886
