Date,Precipitation,Temp_max,Temp_min,Wind,Weather
07-06-2015,9.7,17.0,8.8,Low,drizzle
08-06-2015,6.9,28.0,16.0,High,cloudy
09-06-2015,11.6,20.8,10.7,Low,sunny
10-06-2015,4.7,9.9,0.2,Moderate,rain
11-06-2015,12.9,26.4,4.4,Moderate,sunny
12-06-2015,16.6,15.3,9.1,High,rain
13-06-2015,3.2,33.1,11.5,Moderate,drizzle
14-06-2015,14.6,27.6,9.7,Moderate,sunny
15-06-2015,9.1,16.9,16.1,Moderate,drizzle
16-06-2015,13.2,29.0,0.2,Moderate,cloudy
17-06-2015,24.0,20.5,10.7,High,rain
18-06-2015,2.5,26.0,0.9,High,cloudy
19-06-2015,2.5,23.4,13.8,High,rain
20-06-2015,3.9,14.1,9.5,Moderate,drizzle
21-06-2015,3.2,15.5,12.1,Moderate,storm
22-06-2015,4.2,27.2,5.7,Moderate,sunny
23-06-2015,8.4,17.7,16.4,Moderate,drizzle
24-06-2015,7.8,17.2,15.2,Moderate,rain
25-06-2015,13.3,13.3,12.9,Moderate,rain
26-06-2015,5.1,23.0,9.4,High,rain
27-06-2015,19.5,34.4,12.9,Low,rain
28-06-2015,2.4,12.5,6.5,High,sunny
29-06-2015,32.2,20.2,14.3,Moderate,cloudy
30-06-2015,11.3,29.9,18.2,Moderate,storm
01-07-2015,3.6,19.4,15.4,High,sunny
02-07-2015,5.7,23.2,6.4,Moderate,rain
03-07-2015,9.8,12.6,11.8,High,sunny
04-07-2015,2.8,23.0,3.5,Low,drizzle
05-07-2015,12.1,18.7,12.9,High,rain
06-07-2015,9.7,26.9,12.3,Moderate,storm
07-07-2015,4.3,28.3,0.7,Moderate,rain
08-07-2015,3.5,38.1,4.2,Moderate,storm
09-07-2015,10.1,24.1,8.6,High,storm
10-07-2015,0.5,22.3,8.5,Moderate,cloudy
11-07-2015,13.6,21.4,4.0,Moderate,cloudy
12-07-2015,7.1,17.5,11.9,Moderate,sunny
13-07-2015,7.5,22.4,11.3,Low,sunny
14-07-2015,6.7,17.9,9.0,High,storm
15-07-2015,8.9,21.2,6.2,Moderate,rain
16-07-2015,3.8,29.2,15.2,High,drizzle
17-07-2015,6.5,13.0,18.3,Moderate,drizzle
18-07-2015,5.6,28.0,7.6,Moderate,rain
19-07-2015,6.4,29.2,6.9,Moderate,rain
20-07-2015,8.6,19.2,12.5,High,cloudy
21-07-2015,10.6,5.1,8.2,Moderate,drizzle
22-07-2015,15.8,15.7,9.3,High,storm
23-07-2015,15.5,29.1,13.7,High,sunny
24-07-2015,8.8,19.8,0.5,High,cloudy
25-07-2015,4.4,13.0,16.6,Moderate,drizzle
26-07-2015,10.2,16.5,10.4,Low,rain
27-07-2015,10.1,25.9,7.9,Moderate,drizzle
28-07-2015,10.2,23.8,9.6,Moderate,storm
29-07-2015,43.5,18.3,9.8,High,cloudy
30-07-2015,10.7,17.4,1.3,Low,rain
31-07-2015,16.4,17.3,17.5,Moderate,storm
01-08-2015,14.5,13.5,10.2,Moderate,sunny
02-08-2015,11.5,31.3,12.2,Moderate,cloudy
03-08-2015,1.8,17.7,14.8,High,storm
04-08-2015,12.6,28.5,4.9,Moderate,storm
05-08-2015,2.7,30.6,12.4,High,rain
06-08-2015,2.6,27.0,8.7,Moderate,sunny
07-08-2015,0.1,17.0,14.2,High,storm
08-08-2015,5.8,22.8,-0.6,High,cloudy
09-08-2015,28.1,19.8,9.5,High,storm
10-08-2015,13.7,13.7,7.0,Low,drizzle
11-08-2015,11.9,22.3,12.2,Moderate,cloudy
12-08-2015,11.1,11.7,12.4,Moderate,cloudy
13-08-2015,0.3,28.3,6.5,High,storm
14-08-2015,15.9,16.7,6.4,High,rain
15-08-2015,5.6,21.4,9.4,Moderate,cloudy
16-08-2015,5.8,22.0,5.5,Moderate,drizzle
17-08-2015,2.2,18.2,14.2,Low,rain
18-08-2015,11.8,24.1,8.2,High,rain
19-08-2015,2.3,16.7,-4.5,Moderate,rain
20-08-2015,7.2,26.1,8.1,Moderate,cloudy
21-08-2015,5.5,10.6,4.8,Moderate,rain
22-08-2015,1.5,20.9,1.8,High,storm
23-08-2015,26.4,33.6,3.8,Low,rain
24-08-2015,11.3,13.0,10.5,Moderate,drizzle
25-08-2015,15.3,15.3,16.6,Moderate,sunny
26-08-2015,6.9,23.6,11.6,Moderate,drizzle
27-08-2015,1.6,21.3,7.0,High,cloudy
28-08-2015,13.5,22.5,12.3,Moderate,rain
29-08-2015,2.9,23.4,7.7,High,rain
30-08-2015,3.9,24.4,6.5,Moderate,storm
31-08-2015,10.0,27.8,4.2,High,rain
01-09-2015,13.7,22.9,1.2,Moderate,drizzle
02-09-2015,7.0,18.3,8.1,Moderate,cloudy
03-09-2015,1.7,24.7,10.8,High,sunny
04-09-2015,0.3,33.3,9.5,Moderate,rain
05-09-2015,1.5,19.1,7.9,Low,sunny
06-09-2015,22.7,13.2,5.3,Moderate,rain
07-09-2015,9.0,27.7,13.0,Moderate,cloudy
08-09-2015,7.6,19.2,3.4,High,drizzle
09-09-2015,14.2,4.8,13.9,Moderate,cloudy
10-09-2015,26.2,25.9,5.0,Low,sunny
11-09-2015,15.3,16.3,6.2,High,rain
12-09-2015,10.2,19.4,2.7,Low,sunny
13-09-2015,0.2,22.3,7.5,Low,drizzle
14-09-2015,17.7,21.3,14.9,Low,cloudy
15-09-2015,2.1,25.0,12.6,High,sunny
16-09-2015,9.4,17.0,14.9,Moderate,sunny
17-09-2015,12.7,23.6,12.6,Moderate,drizzle
18-09-2015,4.3,18.2,4.5,High,rain
19-09-2015,4.4,25.2,8.3,High,sunny
20-09-2015,27.4,24.3,6.1,High,drizzle
21-09-2015,5.2,13.5,16.7,Low,rain
22-09-2015,2.5,27.6,4.0,Moderate,rain
23-09-2015,7.5,16.2,14.5,Low,cloudy
24-09-2015,21.3,25.7,14.5,Moderate,drizzle
25-09-2015,9.3,22.6,19.1,Moderate,rain
26-09-2015,0.6,32.9,8.0,High,cloudy
27-09-2015,6.3,18.4,13.6,Moderate,storm
28-09-2015,19.4,17.6,21.4,High,drizzle
29-09-2015,9.4,19.9,6.9,High,storm
30-09-2015,16.6,17.9,2.3,Very High,rain
01-10-2015,5.1,25.6,0.6,Moderate,drizzle
02-10-2015,4.8,8.7,13.6,Moderate,cloudy
03-10-2015,9.6,12.6,0.6,Moderate,rain
04-10-2015,7.0,12.5,8.1,Moderate,drizzle
05-10-2015,1.0,26.7,12.2,High,drizzle
06-10-2015,5.7,32.0,10.9,Moderate,storm
07-10-2015,1.1,19.3,12.1,Moderate,rain
08-10-2015,6.1,18.8,11.1,Moderate,cloudy
09-10-2015,11.6,20.5,16.4,High,cloudy
10-10-2015,20.9,28.1,5.2,Moderate,rain
11-10-2015,7.4,13.5,6.6,Moderate,rain
12-10-2015,26.3,21.7,6.1,High,sunny
13-10-2015,14.5,26.8,14.2,Moderate,storm
14-10-2015,3.5,23.5,14.5,Moderate,rain
15-10-2015,10.9,21.3,12.3,High,rain
16-10-2015,7.8,27.0,15.9,Low,sunny
17-10-2015,1.2,1.1,4.1,High,sunny
18-10-2015,2.9,24.7,18.3,Low,drizzle
19-10-2015,0.1,15.4,17.6,High,cloudy
20-10-2015,0.9,7.2,13.7,Moderate,storm
21-10-2015,13.5,23.6,18.9,High,drizzle
22-10-2015,8.6,29.6,1.7,High,rain
23-10-2015,1.9,19.0,7.4,High,sunny
24-10-2015,14.0,26.7,6.3,Moderate,cloudy
25-10-2015,8.1,31.3,13.6,Moderate,drizzle
26-10-2015,13.1,29.2,4.7,Moderate,cloudy
27-10-2015,11.3,31.5,13.8,High,sunny
28-10-2015,3.3,25.2,16.9,Moderate,drizzle
29-10-2015,0.6,20.5,13.5,Low,drizzle
30-10-2015,12.5,8.8,11.4,High,cloudy
31-10-2015,11.1,18.3,5.1,Moderate,sunny
01-11-2015,4.8,14.1,5.8,Moderate,rain
02-11-2015,6.2,35.2,16.2,Low,drizzle
03-11-2015,17.8,18.8,13.9,Moderate,rain
04-11-2015,0.9,20.9,9.8,Moderate,sunny
05-11-2015,10.5,23.9,7.9,Moderate,drizzle
06-11-2015,3.0,20.3,-0.1,High,drizzle
07-11-2015,2.8,31.9,4.6,High,rain
08-11-2015,16.0,15.6,19.6,Moderate,storm
09-11-2015,13.3,21.4,3.6,Moderate,rain
10-11-2015,13.1,14.8,10.9,High,rain
11-11-2015,18.1,10.8,15.0,High,storm
12-11-2015,5.2,15.7,3.7,Moderate,sunny
13-11-2015,11.8,19.7,10.9,Moderate,sunny
14-11-2015,1.9,17.0,14.7,Moderate,drizzle
15-11-2015,8.2,15.2,10.1,Low,cloudy
16-11-2015,3.7,10.2,24.3,High,cloudy
17-11-2015,6.0,19.4,1.7,High,drizzle
18-11-2015,11.0,9.5,15.3,High,cloudy
19-11-2015,3.2,25.3,9.1,Moderate,rain
20-11-2015,25.9,20.6,13.9,High,rain
21-11-2015,5.1,9.8,12.2,Moderate,storm
22-11-2015,7.1,17.8,6.3,High,storm
23-11-2015,16.6,14.7,11.1,Moderate,drizzle
24-11-2015,12.9,22.2,0.7,Moderate,drizzle
25-11-2015,11.2,29.4,13.0,High,drizzle
26-11-2015,11.3,6.9,11.5,Moderate,rain
27-11-2015,4.9,20.8,13.2,Moderate,cloudy
28-11-2015,4.0,18.9,15.3,Moderate,drizzle
29-11-2015,5.8,24.7,11.8,Moderate,drizzle
30-11-2015,1.8,21.5,10.7,Very High,rain
01-12-2015,14.8,14.7,5.6,High,rain
02-12-2015,3.5,17.8,6.4,High,rain
03-12-2015,3.3,14.4,15.9,Moderate,cloudy
04-12-2015,1.8,27.5,17.2,High,drizzle
05-12-2015,9.1,20.1,8.8,High,sunny
06-12-2015,0.6,33.3,10.2,Moderate,sunny
07-12-2015,3.2,19.6,5.5,Moderate,drizzle
08-12-2015,7.4,15.0,15.9,Moderate,drizzle
09-12-2015,7.4,9.4,13.3,Low,drizzle
10-12-2015,0.1,7.4,19.7,Moderate,drizzle
11-12-2015,0.3,8.9,5.6,Moderate,cloudy
12-12-2015,7.3,21.9,8.1,High,sunny
13-12-2015,9.5,23.6,11.2,Moderate,storm
14-12-2015,9.1,8.9,13.2,Low,sunny
15-12-2015,2.2,26.3,8.9,Moderate,sunny
16-12-2015,2.9,16.6,5.6,Low,rain
17-12-2015,8.1,21.0,14.4,Moderate,drizzle
18-12-2015,19.8,31.3,13.6,Moderate,drizzle
19-12-2015,13.6,26.3,5.4,High,drizzle
20-12-2015,3.4,18.1,16.8,Moderate,rain
21-12-2015,4.8,13.8,15.9,Moderate,cloudy
22-12-2015,5.0,4.9,10.7,Low,cloudy
23-12-2015,4.8,15.0,10.4,High,storm
24-12-2015,2.1,18.5,12.8,High,cloudy
25-12-2015,8.2,13.1,5.7,High,cloudy
26-12-2015,3.3,19.1,10.2,Moderate,drizzle
27-12-2015,10.2,20.5,-0.8,Moderate,sunny
28-12-2015,20.3,18.4,14.4,High,cloudy
29-12-2015,3.9,15.4,2.2,Moderate,cloudy
30-12-2015,9.0,21.2,17.5,Moderate,rain
31-12-2015,11.9,23.1,8.3,Low,storm
01-01-2016,1.0,12.4,8.9,Moderate,rain
02-01-2016,7.2,29.9,6.9,Moderate,drizzle
03-01-2016,5.1,19.3,8.6,High,sunny
04-01-2016,6.0,20.1,17.1,Moderate,storm
05-01-2016,2.7,25.0,-2.4,Moderate,rain
06-01-2016,5.2,21.6,16.4,Moderate,cloudy
07-01-2016,10.0,26.7,11.7,Moderate,cloudy
08-01-2016,19.5,22.0,4.0,Moderate,storm
09-01-2016,14.6,15.7,4.6,Low,cloudy
10-01-2016,26.5,22.5,18.4,High,rain
11-01-2016,2.7,12.0,5.3,Moderate,rain
12-01-2016,13.7,20.8,4.2,High,cloudy
13-01-2016,6.8,19.8,15.7,Low,cloudy
14-01-2016,26.9,18.5,11.7,High,drizzle
15-01-2016,3.1,19.1,5.3,High,sunny
16-01-2016,3.4,6.8,11.1,Moderate,storm
17-01-2016,1.0,16.2,4.9,Moderate,rain
18-01-2016,16.2,20.6,15.5,Moderate,storm
19-01-2016,0.3,21.1,15.3,Low,drizzle
20-01-2016,2.6,12.8,12.7,Moderate,rain
21-01-2016,6.5,28.9,11.8,High,drizzle
22-01-2016,8.4,13.9,18.8,High,drizzle
23-01-2016,23.8,26.8,10.0,Moderate,cloudy
24-01-2016,14.5,23.0,4.1,Moderate,storm
25-01-2016,0.8,15.5,12.2,High,storm
26-01-2016,4.0,32.4,20.4,Moderate,cloudy
27-01-2016,9.9,11.6,4.9,Low,storm
28-01-2016,8.2,26.4,8.2,High,cloudy
29-01-2016,23.3,27.0,12.1,Moderate,rain
30-01-2016,16.8,15.3,9.7,High,drizzle
31-01-2016,0.3,29.7,5.1,Low,drizzle
01-02-2016,12.1,18.2,15.6,Low,storm
02-02-2016,18.5,22.0,21.6,Moderate,sunny
03-02-2016,3.9,21.8,11.0,Moderate,drizzle
04-02-2016,17.4,19.1,5.5,Low,cloudy
05-02-2016,10.9,25.7,2.3,Moderate,sunny
06-02-2016,1.0,25.6,11.3,Very High,sunny
07-02-2016,5.1,7.8,15.5,Moderate,drizzle
08-02-2016,5.5,29.1,12.4,High,drizzle
09-02-2016,0.5,8.4,10.0,Moderate,drizzle
10-02-2016,11.2,27.2,7.1,Low,cloudy
11-02-2016,5.7,27.9,4.5,Moderate,sunny
12-02-2016,3.6,12.4,14.2,Moderate,storm
13-02-2016,6.2,17.1,14.6,Moderate,cloudy
14-02-2016,10.1,12.3,2.3,Moderate,rain
15-02-2016,12.1,18.5,17.9,Moderate,drizzle
16-02-2016,6.2,17.8,12.9,Moderate,sunny
17-02-2016,10.3,25.5,17.0,Low,cloudy
18-02-2016,17.8,29.2,3.3,High,rain
19-02-2016,8.3,29.8,3.2,Low,cloudy
20-02-2016,2.5,16.1,9.3,Low,cloudy
21-02-2016,20.5,18.5,12.5,High,storm
22-02-2016,6.2,8.2,19.0,High,storm
23-02-2016,16.8,14.4,13.5,Moderate,cloudy
24-02-2016,5.7,26.8,8.8,Low,rain
25-02-2016,25.6,31.3,4.9,Moderate,sunny
26-02-2016,22.6,11.4,16.2,Moderate,sunny
27-02-2016,2.5,15.9,5.2,Low,drizzle
28-02-2016,14.7,19.8,18.1,Moderate,drizzle
29-02-2016,11.5,22.0,8.6,High,sunny
01-03-2016,18.7,14.3,18.0,High,cloudy
02-03-2016,4.6,23.0,13.4,Moderate,cloudy
03-03-2016,11.9,16.7,9.3,High,storm
04-03-2016,15.6,19.9,7.4,Low,storm
05-03-2016,12.6,23.8,8.3,High,drizzle
06-03-2016,6.8,20.0,12.1,Moderate,sunny
07-03-2016,15.4,16.9,10.4,Moderate,cloudy
08-03-2016,2.3,19.2,7.0,Moderate,sunny
09-03-2016,12.2,19.4,9.2,High,rain
10-03-2016,20.0,17.4,10.4,Moderate,sunny
11-03-2016,5.7,18.2,-0.6,High,rain
12-03-2016,21.3,31.2,12.3,Moderate,storm
13-03-2016,8.8,23.9,5.1,Moderate,storm
14-03-2016,12.0,17.9,4.2,Moderate,drizzle
15-03-2016,4.4,24.9,1.6,Moderate,sunny
16-03-2016,8.8,17.7,1.0,Moderate,sunny
17-03-2016,4.7,28.2,3.2,Moderate,rain
18-03-2016,15.7,22.6,6.5,Moderate,storm
19-03-2016,4.1,19.2,19.8,Moderate,rain
20-03-2016,8.0,23.1,7.4,High,storm
21-03-2016,11.7,9.0,10.9,High,rain
22-03-2016,8.7,12.1,12.0,Low,storm
23-03-2016,4.4,11.6,10.7,High,rain
24-03-2016,0.1,21.0,9.6,Low,storm
25-03-2016,5.6,32.1,4.0,High,rain
26-03-2016,4.4,35.6,17.3,High,sunny
27-03-2016,14.6,24.5,19.0,Low,drizzle
28-03-2016,4.9,23.5,1.6,Moderate,rain
29-03-2016,10.0,7.4,4.9,Moderate,drizzle
30-03-2016,0.3,16.2,8.6,Moderate,sunny
31-03-2016,2.9,14.5,5.2,High,sunny
01-04-2016,3.9,15.7,12.5,Moderate,storm
02-04-2016,5.4,18.8,6.4,Moderate,drizzle
03-04-2016,0.5,16.7,20.8,Moderate,cloudy
04-04-2016,7.0,6.1,16.0,High,storm
05-04-2016,24.6,25.2,11.1,Moderate,drizzle
06-04-2016,5.4,12.5,15.1,High,rain
07-04-2016,2.0,21.7,15.5,High,rain
08-04-2016,7.1,34.5,7.2,Low,sunny
09-04-2016,3.9,13.6,5.9,Moderate,cloudy
10-04-2016,2.8,2.3,10.4,Moderate,rain
11-04-2016,11.1,18.0,14.3,High,drizzle
12-04-2016,12.6,27.7,10.7,Low,drizzle
13-04-2016,0.3,33.7,2.1,Very High,rain
14-04-2016,0.8,11.4,6.0,High,drizzle
15-04-2016,2.2,23.5,9.6,Moderate,drizzle
16-04-2016,18.0,16.7,9.6,High,sunny
17-04-2016,10.2,19.3,19.9,Very High,cloudy
18-04-2016,18.7,38.5,3.1,High,sunny
19-04-2016,21.4,9.5,12.5,High,cloudy
20-04-2016,2.5,21.8,17.4,Moderate,drizzle
21-04-2016,10.8,23.3,21.4,Moderate,cloudy
22-04-2016,8.1,27.6,8.0,Moderate,drizzle
23-04-2016,35.8,20.7,12.5,Moderate,drizzle
24-04-2016,16.2,22.2,12.8,Moderate,sunny
25-04-2016,3.7,17.3,11.0,Low,sunny
26-04-2016,4.6,21.9,9.5,Moderate,storm
27-04-2016,11.1,17.6,12.2,Low,rain
28-04-2016,7.0,24.4,-2.7,Moderate,storm
29-04-2016,2.6,17.4,13.4,Moderate,storm
30-04-2016,9.2,22.6,10.6,Moderate,cloudy
01-05-2016,1.5,19.8,8.9,Moderate,drizzle
02-05-2016,5.8,27.9,20.2,Very High,drizzle
03-05-2016,21.9,19.6,6.6,High,drizzle
04-05-2016,13.8,7.6,8.0,Low,rain
05-05-2016,4.9,28.8,20.0,Moderate,cloudy
06-05-2016,19.8,13.7,5.8,Moderate,cloudy
07-05-2016,5.8,15.4,7.2,Moderate,drizzle
08-05-2016,3.6,15.8,9.3,Low,storm
09-05-2016,20.2,29.6,14.2,Moderate,rain
10-05-2016,10.4,5.1,11.0,Moderate,storm
11-05-2016,5.4,42.0,3.5,High,sunny
12-05-2016,3.1,27.4,7.3,High,cloudy
13-05-2016,3.8,21.6,7.0,High,cloudy
14-05-2016,8.8,19.6,9.6,Moderate,storm
